Player,Rk,NHL ID,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
Stephane Morin,30,morinst01,24,LW,5,1,1,2,0,6,1,0,0,0,1.0,0.0,0.0,6,16.7,,,0.1,0.1,0.1
Bret Hedican,31,hedicbr01,23,D,8,0,1,1,1,0,0,0,0,0,0.0,1.0,0.0,10,0.0,,,-0.1,0.4,0.4
Brian Glynn,32,glynnbr01,26,D,16,0,0,0,-4,12,0,0,0,0,0.0,0.0,0.0,5,0.0,,,-0.3,0.5,0.2
Michael Peca,33,pecami01,19,C,4,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,5,0.0,,,-0.2,0.0,-0.1
Kay Whitmore,34,whitmka01,26,G,32,0,0,0,0,6,0,0,0,0,,,,0,,1921.0,60:03:00,0.0,0.0,2.5
Doug Gilmour*,1,gilmodo01,30,C,83,27,84,111,25,105,16,10,1,3,50.0,30.0,4.0,167,16.2,,,8.5,1.9,10.4
Dave Andreychuk*,2,andreda01,30,RW,83,53,46,99,22,98,27,21,5,8,24.0,22.0,0.0,333,15.9,,,9.7,1.8,11.4
Wendel Clark,3,clarkwe01,27,LW,64,46,30,76,10,115,25,21,0,8,19.0,11.0,0.0,275,16.7,,,7.9,1.1,9.0
Dave Ellett,4,elletda01,29,D,68,7,36,43,6,42,2,5,0,1,12.0,24.0,0.0,146,4.8,,,2.8,4.0,6.8
Dmitri Mironov,5,mirondm01,28,D,76,9,27,36,5,78,6,3,0,0,12.0,15.0,0.0,147,6.1,,,2.2,4.3,6.5
Glenn Anderson*,6,andergl01,33,RW,73,17,18,35,-6,50,12,5,0,3,12.0,6.0,0.0,127,13.4,,,1.6,0.8,2.4
Nikolai Borschevsky,7,borscni01,29,RW,45,14,20,34,6,10,7,7,0,1,9.0,11.0,0.0,105,13.3,,,2.3,0.8,3.1
John Cullen,8,cullejo01,29,C,53,13,17,30,-2,67,11,2,0,4,13.0,4.0,0.0,80,16.3,,,1.6,0.6,2.2
Rob Pearson,9,pearsro01,22,RW,67,12,18,30,-6,189,11,1,0,4,15.0,3.0,0.0,119,10.1,,,1.0,0.7,1.7
Jamie Macoun,10,macouja01,32,D,82,3,27,30,-5,115,2,1,0,1,21.0,5.0,1.0,122,2.5,,,1.1,4.0,5.1
Todd Gill,11,gillto01,28,D,45,4,24,28,8,44,2,2,0,1,11.0,12.0,1.0,74,5.4,,,1.8,2.9,4.6
Mark Osborne,12,osborma01,32,RW,73,9,15,24,2,145,7,1,1,2,15.0,0.0,0.0,103,8.7,,,0.0,1.0,1.0
Bill Berg,13,bergbi01,26,LW,83,8,11,19,-3,93,8,0,0,1,11.0,0.0,0.0,99,8.1,,,-0.9,1.0,0.1
Mike Eastwood,14,eastwmi01,26,C,54,8,10,18,2,28,7,1,0,2,6.0,4.0,0.0,41,19.5,,,0.1,0.8,0.9
Peter Zezel,15,zezelpe01,28,C,41,8,8,16,5,19,8,0,0,0,8.0,0.0,0.0,47,17.0,,,0.5,0.7,1.1
Kent Manderville,16,mandeke01,22,LW,67,7,9,16,5,63,7,0,0,1,9.0,0.0,0.0,81,8.6,,,-0.6,1.0,0.4
Bob Rouse,17,rousebo01,29,D,63,5,11,16,8,101,3,1,1,0,8.0,1.0,2.0,77,6.5,,,0.4,3.8,4.3
Mike Gartner*,18,gartnmi01,34,RW,10,6,6,12,9,4,5,1,0,0,4.0,2.0,0.0,30,20.0,,,1.1,0.4,1.6
Mike Krushelnyski,19,krushmi01,33,C,54,5,6,11,-5,28,4,1,0,1,6.0,0.0,0.0,71,7.0,,,-0.7,0.5,-0.2
Sylvain Lefebvre,20,lefebsy01,26,D,84,2,9,11,33,79,2,0,0,0,7.0,1.0,1.0,96,2.1,,,-0.7,6.5,5.8
Drake Berehowsky,21,berehdr01,22,D,49,2,8,10,-3,63,0,2,0,2,2.0,6.0,0.0,29,6.9,,,0.0,2.4,2.4
Ken Baumgartner,22,baumgke01,27,LW,64,4,4,8,-6,185,4,0,0,0,4.0,0.0,0.0,34,11.8,,,-1.4,0.6,-0.8
Yanic Perreault,23,perreya01,22,C,13,3,3,6,1,0,1,2,0,0,3.0,0.0,0.0,24,12.5,,,0.3,0.2,0.5
Chris Govedaris,24,govedch01,23,LW,12,2,2,4,4,14,2,0,0,0,2.0,0.0,0.0,16,12.5,,,0.0,0.3,0.3
Mark Greig,25,greigma01,24,RW,13,2,2,4,1,10,2,0,0,0,2.0,0.0,0.0,14,14.3,,,0.0,0.2,0.2
Felix Potvin,26,potvife01,22,G,66,0,4,4,0,4,0,0,0,0,,,,0,,3883.0,58:50:00,0.0,0.0,12.9
Guy Larose,27,larosgu01,26,C,10,1,2,3,-2,10,1,0,0,0,2.0,0.0,0.0,9,11.1,,,0.0,0.1,0.0
